Year,Market,Company code,Company name,Proposal Status,Dividend in respect of the year (quarter),Dividend Period,Times,Date of the Board of Directors,Date of the Shareholders' Meeting,Cash dividends distributed from retained earnings (NTD/share),Cash distributed from legal reserve (NTD/share),Cash distributed from capital surplus (NTD/share),Total amount of cash distributed to shareholders (NTD),Stock dividends distributed from retained earnings(NTD/share),Stock distributed from legal reserve (NTD/share),Stock distributed from capital surplus (NTD/share),Total amount of stock distributed to shareholders
2015,Listed Company,1452,HONG YI,Ratification by the Shareholders' Meeting,2015,2015/01/01~ 2015/12/31,1,,2016/06/17,1.80000000,0.0,0.0,238754520,0.0,0.0,0.0,0
2015,Listed Company,1453,TA JIANG,Ratification by the Shareholders' Meeting,2015,2015/01/01~ 2015/12/31,1,,2016/06/15,0.0,0.0,0.0,0,0.20000000,0.0,0.0,1758327
2015,Listed Company,1454,TTF,Ratification by the Shareholders' Meeting,2015,2015/01/01~ 2015/12/31,1,,2016/06/20,0.50000000,0.0,0.0,70154924,0.0,0.0,0.0,0
2015,Listed Company,1455,ZIG SHENG,Ratification by the Shareholders' Meeting,2015,2015/01/01~ 2015/12/31,1,,2016/06/27,0.20000000,0.0,0.0,122352676,0.0,0.0,0.0,0
2015,Listed Company,1456,I-HWA,Ratification by the Shareholders' Meeting,2015,2015/01/01~ 2015/12/31,1,,2016/06/17,0.0,0.0,0.0,0,0.0,0.0,0.0,0
2015,Listed Company,1457,YI JINN,Ratification by the Shareholders' Meeting,2015,2015/01/01~ 2015/12/31,1,,2016/06/24,0.60000000,0.0,0.0,201098427,0.0,0.0,0.0,0
2015,Listed Company,1459,LAN FA,Ratification by the Shareholders' Meeting,2015,2015/01/01~ 2015/12/31,1,,2016/06/24,0.0,0.20000000,0.0,71725781,0.0,0.0,0.0,0
2015,Listed Company,1460,EVEREST,Ratification by the Shareholders' Meeting,2015,2015/01/01~ 2015/12/31,1,,2016/06/03,0.80000000,0.0,0.0,376951306,0.0,0.0,0.0,0
2015,Listed Company,1463,CST,Ratification by the Shareholders' Meeting,2015,2015/01/01~ 2015/12/31,1,,2016/06/20,0.40000000,0.30000000,0.0,121287866,0.0,0.0,0.0,0
2015,Listed Company,1464,DE LICACY,Ratification by the Shareholders' Meeting,2015,2015/01/01~ 2015/12/31,1,,2016/06/17,1.80000000,0.40000000,0.0,598741460,0.0,0.0,0.0,0
2015,Listed Company,1465,WISHER,Ratification by the Shareholders' Meeting,2015,2015/01/01~ 2015/12/31,1,,2016/06/07,0.90000000,0.0,0.0,93246540,0.0,0.0,0.0,0
2015,Listed Company,1466,Acelon,Ratification by the Shareholders' Meeting,2015,2015/01/01~ 2015/12/31,1,,2016/05/27,0.0,0.0,0.0,0,0.0,0.0,0.0,0
2015,Listed Company,1467,TEX-RAY,Ratification by the Shareholders' Meeting,2015,2015/01/01~ 2015/12/31,1,,2016/06/21,0.0,0.0,0.0,0,0.0,0.0,0.0,0
2015,Listed Company,1468,CHANG HO,Ratification by the Shareholders' Meeting,2015,2015/01/01~ 2015/12/31,1,,2016/06/23,0.0,0.0,0.0,0,0.0,0.0,0.0,0
2015,Listed Company,1470,EVERTEX,Ratification by the Shareholders' Meeting,2015,2015/01/01~ 2015/12/31,1,,2016/06/29,0.60000000,0.0,0.0,51460200,0.0,0.0,0.0,0
2015,Listed Company,1471,SL,Ratification by the Shareholders' Meeting,2015,2015/01/01~ 2015/12/31,1,,2016/06/30,0.0,0.0,0.0,0,0.0,0.0,0.0,0
2015,Listed Company,1472,TRIOCEAN,Ratification by the Shareholders' Meeting,2015,2015/01/01~ 2015/12/31,1,,2016/06/23,0.0,0.0,0.0,0,0.0,0.0,0.0,0
2015,Listed Company,1473,TAINAN,Ratification by the Shareholders' Meeting,2015,2015/01/01~ 2015/12/31,1,,2016/03/31,1.20000000,0.0,0.0,173904041,0.0,0.0,0.0,0
2015,Listed Company,1474,HONMYUE,Ratification by the Shareholders' Meeting,2015,2015/01/01~ 2015/12/31,1,,2016/06/21,0.50000000,0.0,0.0,64948485,0.0,0.0,0.0,0
2015,Listed Company,1475,BIG SUNSHINE,Ratification by the Shareholders' Meeting,2015,2015/01/01~ 2015/12/31,1,,2016/06/27,0.0,0.0,0.0,0,0.0,0.0,0.0,0
2015,Listed Company,1476,ECLAT,Ratification by the Shareholders' Meeting,2015,2015/01/01~ 2015/12/31,1,,2016/06/21,10.50000000,0.0,0.0,2824367322,0.0,0.0,0.0,0
2015,Listed Company,1477,Makalot?@?@,Ratification by the Shareholders' Meeting,2015,2015/01/01~ 2015/12/31,1,,2016/06/16,9.52000000,0.0,0.0,1892922747,0.0,0.35000000,0.0,6959274
2015,Emerging Stocks,1480,TM?@?@,Ratification by the Shareholders' Meeting,2015,2015/01/01~ 2015/12/31,1,,2016/06/28,0.0,0.0,0.0,0,0.0,0.0,0.0,0
2015,Listed Company,1503,SEEC,Ratification by the Shareholders' Meeting,2015,2015/01/01~ 2015/12/31,1,,2016/06/08,1.50000000,0.0,0.0,781458335,0.0,0.0,0.0,0
2015,Listed Company,1504,TECO,Ratification by the Shareholders' Meeting,2015,2015/01/01~ 2015/12/31,1,,2016/06/16,0.80000000,0.0,0.0,1602154309,0.0,0.0,0.0,0
2015,Listed Company,1506,RIGHT WAY,Ratification by the Shareholders' Meeting,2015,2015/01/01~ 2015/12/31,1,,2016/06/15,0.0,0.0,0.0,0,0.0,0.0,0.0,0
2015,Listed Company,1512,JL,Ratification by the Shareholders' Meeting,2015,2015/01/01~ 2015/12/31,1,,2016/06/27,0.0,0.0,0.0,0,0.0,0.0,0.0,0
2015,Listed Company,1513,CHEM,Ratification by the Shareholders' Meeting,2015,2015/01/01~ 2015/12/31,1,,2016/06/27,1.00000000,0.0,0.0,420000000,0.0,0.0,0.0,0
2015,Listed Company,1514,AEC,Ratification by the Shareholders' Meeting,2015,2015/01/01~ 2015/12/31,1,,2016/06/22,0.48000000,0.0,0.0,96512166,0.0,0.0,0.0,0
2015,Listed Company,1515,REXON,Ratification by the Shareholders' Meeting,2015,2015/01/01~ 2015/12/31,1,,2016/05/31,0.50000000,0.0,0.0,90736750,0.0,0.0,0.0,0
2015,Listed Company,1516,FALCON,Ratification by the Shareholders' Meeting,2015,2015/01/01~ 2015/12/31,1,,2016/06/15,0.0,0.0,0.0,0,2.56892470,0.0,0.0,5989366
2015,Listed Company,1517,Lee Chi,Ratification by the Shareholders' Meeting,2015,2015/01/01~ 2015/12/31,1,,2016/06/21,0.50000000,0.0,0.0,113912504,0.0,0.0,0.0,0
2015,Listed Company,1519,FE,Ratification by the Shareholders' Meeting,2015,2015/01/01~ 2015/12/31,1,,2016/06/13,0.60000000,0.0,0.0,156635128,0.0,0.0,0.0,0
2015,Listed Company,1521,TA YIH,Ratification by the Shareholders' Meeting,2015,2015/01/01~ 2015/12/31,1,,2016/06/13,5.00000000,0.0,0.0,381150000,0.0,0.0,0.0,0
